dataset,group_column,group,n_samples,exact_match_accuracy,macro_precision,macro_recall,macro_f1,micro_precision,micro_recall,micro_f1,samples_f1,hamming_loss,no_event_accuracy
ood_params,background,linear,223,0.27802690582959644,0.6748322641160258,0.6172995873912263,0.6305976791937218,0.6721311475409836,0.5662983425414365,0.6146926536731634,0.5624813153961136,0.2304932735426009,0.2222222222222222
ood_params,background,linear+single_seasonality,137,0.21897810218978103,0.656965811965812,0.4992540627747414,0.5558452380952381,0.6727272727272727,0.4955357142857143,0.570694087403599,0.5119221411192214,0.24379562043795622,0.1111111111111111
ood_params,background,none,104,0.375,0.5916635777300023,0.5320449172576833,0.5528523104717928,0.7379310344827587,0.6858974358974359,0.7109634551495017,0.6333333333333334,0.1673076923076923,0.25
ood_params,background,quadratic_trend,99,0.24242424242424243,0.5480605605605605,0.4775798237261652,0.4999036968613038,0.5683453237410072,0.6076923076923076,0.587360594795539,0.5420875420875422,0.22424242424242424,0.0
ood_params,background,single_seasonality,98,0.30612244897959184,0.5982400379506642,0.47647044798893734,0.5082564076086088,0.6640625,0.5821917808219178,0.6204379562043796,0.5520408163265306,0.21224489795918366,0.1
ood_params,background,single_seasonality+linear,59,0.1864406779661017,0.6079653679653679,0.5141337099811676,0.5294395678118211,0.625,0.4672897196261682,0.5347593582887701,0.4966101694915254,0.29491525423728815,
ood_background,length,400,240,0.21666666666666667,0.5749057936602269,0.5413333333333333,0.5497506990316714,0.5702247191011236,0.5413333333333333,0.5554035567715458,0.51625,0.2708333333333333,0.2
ood_background,length,800,240,0.22916666666666666,0.6168549878391814,0.5813333333333334,0.5937579079736851,0.5972602739726027,0.5813333333333334,0.5891891891891892,0.5454166666666667,0.25333333333333335,0.13333333333333333
ood_background,length,1200,240,0.24583333333333332,0.6071149811409712,0.584,0.5905573956717594,0.5918918918918918,0.584,0.5879194630872483,0.5447222222222223,0.25583333333333336,0.13333333333333333
ood_background,scenario_group,anomaly_anomaly,45,0.24444444444444444,0.4,0.24,0.3,0.8059701492537313,0.6,0.6878980891719745,0.6733333333333333,0.21777777777777776,
ood_background,scenario_group,no_event,45,0.15555555555555556,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25333333333333335,0.15555555555555556
ood_background,scenario_group,shift_anomaly,270,0.1925925925925926,0.6968576976597827,0.5659259259259259,0.617953587700591,0.7056179775280899,0.5814814814814815,0.6375634517766497,0.6195061728395062,0.2644444444444444,
ood_background,scenario_group,shift_shift,135,0.16296296296296298,0.4667905056759546,0.29333333333333333,0.35807227532363156,0.6439024390243903,0.4888888888888889,0.5557894736842105,0.5293827160493827,0.3125925925925926,
ood_background,scenario_group,single_event,225,0.3288888888888889,0.4655438126309576,0.6222222222222222,0.526851269998029,0.4416403785488959,0.6222222222222222,0.5166051660516605,0.5177777777777778,0.2328888888888889,
ood_background,background,cubic_trend,112,0.26785714285714285,0.6612012479390529,0.4950378510378511,0.5628897317421908,0.650887573964497,0.625,0.6376811594202898,0.5851190476190476,0.22321428571428573,0.2857142857142857
ood_background,background,linear+multiple_seasonality,161,0.14285714285714285,0.5631948051948051,0.4823161070520577,0.5032086238804758,0.5377777777777778,0.4689922480620155,0.5010351966873706,0.45258799171842645,0.2993788819875776,0.15384615384615385
ood_background,background,multiple_seasonality,115,0.3826086956521739,0.610280177187154,0.5450927281667817,0.5608624944814256,0.6871165644171779,0.6706586826347305,0.6787878787878788,0.6310144927536233,0.18434782608695652,0.2
ood_background,background,multiple_seasonality+linear,89,0.24719101123595505,0.6040990990990991,0.5496174836399554,0.5505736961451247,0.6382978723404256,0.5769230769230769,0.6060606060606061,0.5895131086142322,0.26292134831460673,
ood_background,background,quadratic_trend+single_seasonality,113,0.2743362831858407,0.5940947940947942,0.43882267103214023,0.4953772286203539,0.6066666666666667,0.5449101796407185,0.5741324921135647,0.5156342182890855,0.23893805309734514,0.125
ood_background,background,volatility_background,65,0.07692307692307693,0.4954545454545455,0.38770114942528733,0.4141304347826087,0.4375,0.6436781609195402,0.5209302325581395,0.47282051282051285,0.3169230769230769,0.0
ood_background,background,volatility_background+linear,65,0.16923076923076924,0.5598484848484848,0.4423504273504273,0.44674075508794503,0.5217391304347826,0.5263157894736842,0.5240174672489083,0.5092307692307692,0.3353846153846154,
