length,event,tolerance_points_default,shift_min_persistence_default,tp_default,fp_default,fn_default,tn_default,start_precision_default,start_recall_default,start_f1_default,start_specificity_default,start_balanced_accuracy_default,mean_abs_start_error_default,dataset,setting_default,point_anomaly_threshold_default,collective_anomaly_threshold_default,tolerance_points_tuned,shift_min_persistence_tuned,tp_tuned,fp_tuned,fn_tuned,tn_tuned,start_precision_tuned,start_recall_tuned,start_f1_tuned,start_specificity_tuned,start_balanced_accuracy_tuned,mean_abs_start_error_tuned,setting_tuned,point_anomaly_threshold_tuned,collective_anomaly_threshold_tuned,tolerance_points_change,shift_min_persistence_change,tp_change,fp_change,fn_change,tn_change,start_precision_change,start_recall_change,start_f1_change,start_specificity_change,start_balanced_accuracy_change,mean_abs_start_error_change,point_anomaly_threshold_change,collective_anomaly_threshold_change
800,mean_shift,40,80.0,40,31,81,207,0.5633802816107916,0.3305785123693737,0.4166666619623482,0.8697478991231198,0.6001632057462467,12.875,ood_params,default_0.5,0.5,0.5,40,80.0,40,31,81,207,0.5633802816107916,0.3305785123693737,0.4166666619623482,0.8697478991231198,0.6001632057462467,12.875,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,variance_shift,40,80.0,26,27,106,212,0.49056603764328943,0.196969696954775,0.2810810769624544,0.8870292886658147,0.5419994928102948,14.307692307692308,ood_params,default_0.5,0.5,0.5,40,80.0,26,27,106,212,0.49056603764328943,0.196969696954775,0.2810810769624544,0.8870292886658147,0.5419994928102948,14.307692307692308,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,trend_shift,40,80.0,8,58,115,200,0.12121212119375575,0.0650406504012162,0.08465608010190111,0.7751937984195661,0.4201172244103912,18.25,ood_params,default_0.5,0.5,0.5,40,80.0,8,58,115,200,0.12121212119375575,0.0650406504012162,0.08465608010190111,0.7751937984195661,0.4201172244103912,18.25,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
800,point_anomaly,40,,7,102,50,203,0.06422018348034678,0.12280701752231456,0.08433734487806674,0.6655737704699811,0.39419039399614786,1.4285714285714286,ood_params,default_0.5,0.5,0.5,40,,2,17,55,250,0.10526315783933518,0.035087719292089876,0.05263157518351828,0.9363295879799127,0.4857086536360013,0.0,tuned,0.9200000000000003,0.9400000000000002,0,,-5,-85,5,47,0.041042974358988404,-0.08771929823022467,-0.03170576969454846,0.2707558175099316,0.09151825963985344,-1.4285714285714286,0.42000000000000026,0.44000000000000017
800,collective_anomaly,40,,118,134,0,158,0.46825396823538673,0.9999999999152543,0.6378378334591673,0.5410958903924282,0.7705479451538413,2.3983050847457625,ood_params,default_0.5,0.5,0.5,40,,115,23,3,213,0.8333333332729468,0.9745762711038495,0.8984374949603272,0.9025423728431126,0.938559321973481,4.252173913043478,tuned,0.9200000000000003,0.9400000000000002,0,,-3,-111,3,55,0.36507936503756006,-0.025423728811404867,0.2605996615011599,0.36144648245068434,0.16801137681963974,1.8538688282977156,0.42000000000000026,0.44000000000000017
1200,mean_shift,60,120.0,45,53,70,197,0.4591836734225323,0.3913043477920605,0.4225352062597809,0.78799999996848,0.5896521738802702,17.155555555555555,ood_params,default_0.5,0.5,0.5,60,120.0,45,53,70,197,0.4591836734225323,0.3913043477920605,0.4225352062597809,0.78799999996848,0.5896521738802702,17.155555555555555,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,variance_shift,60,120.0,35,26,87,212,0.5737704917092179,0.2868852458781242,0.3825136567159366,0.8907563024835816,0.5888207741808529,21.857142857142858,ood_params,default_0.5,0.5,0.5,60,120.0,35,26,87,212,0.5737704917092179,0.2868852458781242,0.3825136567159366,0.8907563024835816,0.5888207741808529,21.857142857142858,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,trend_shift,60,120.0,13,59,107,202,0.18055555553047842,0.10833333332430556,0.13541666196506094,0.7739463601236035,0.44113984672395457,28.076923076923077,ood_params,default_0.5,0.5,0.5,60,120.0,13,59,107,202,0.18055555553047842,0.10833333332430556,0.13541666196506094,0.7739463601236035,0.44113984672395457,28.076923076923077,tuned,0.9200000000000003,0.9400000000000002,0,0.0,0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.42000000000000026,0.44000000000000017
1200,point_anomaly,60,,8,103,35,206,0.0720720720655791,0.18604651158464033,0.10389609985748034,0.6666666666450917,0.426356589114866,12.125,ood_params,default_0.5,0.5,0.5,60,,3,15,40,263,0.16666666657407406,0.06976744184424012,0.09836065154528369,0.9460431654335956,0.5079053036389178,18.666666666666668,tuned,0.9200000000000003,0.9400000000000002,0,,-5,-88,5,57,0.09459459450849496,-0.11627906974040021,-0.005535448312196656,0.2793764987885039,0.08154871452405182,6.541666666666668,0.42000000000000026,0.44000000000000017
1200,collective_anomaly,60,,124,188,0,151,0.3974358974231591,0.9999999999193548,0.5688073353530848,0.44542772860042984,0.7227138642598924,2.7661290322580645,ood_params,default_0.5,0.5,0.5,60,,123,39,1,208,0.7592592592123913,0.991935483790973,0.8601398551679789,0.8421052631238014,0.9170203734573872,4.2682926829268295,tuned,0.9200000000000003,0.9400000000000002,0,,-1,-149,1,57,0.36182336178923225,-0.008064516128381882,0.29133251981489405,0.39667753452337157,0.19430650919749481,1.502163650668765,0.42000000000000026,0.44000000000000017
